,respiratory_rate,walking_capacity,sleeping_duration,heart_rate,ruminating,health_status
252,22,13257,4.9,49,6.5,healthy
253,28,13257,2.8,64,6.8,healthy
254,43,12592,2.8,54,5.6,healthy
255,24,11741,4.5,58,5.2,healthy
256,36,13257,3.3,40,4.4,healthy
257,25,5023,7.2,37,6.4,healthy
258,23,5004,7.2,37,3.1,healthy
259,24,13257,3.6,42,5.5,healthy
260,26,5008,6.7,41,5.9,healthy
261,23,11009,7.2,43,5.1,healthy
262,21,13257,2.8,73,6.9,healthy
263,18,5004,7.2,39,3.1,healthy
264,38,13257,4.1,72,6.9,healthy
265,24,5008,7.2,43,5.7,healthy
266,39,13257,3.3,60,5.9,healthy
267,15,5111,6.3,40,5.4,healthy
268,25,13257,2.8,56,6.9,healthy
269,31,13257,2.8,79,7.0,healthy
270,17,8496,5.3,47,4.2,healthy
271,29,12211,7.1,51,3.8,healthy
272,24,13257,4.8,79,5.4,healthy
273,21,5007,3.3,42,4.0,healthy
274,29,5004,4.7,38,5.8,healthy
275,27,10551,2.8,60,5.6,healthy
276,27,5015,7.1,49,3.5,healthy
277,16,13257,2.8,51,7.0,healthy
278,24,5274,2.8,72,6.5,healthy
279,28,13257,2.8,80,6.5,healthy
280,30,12819,2.8,59,6.8,healthy
281,17,13257,6.4,70,6.7,healthy
282,12,12321,6.3,54,5.0,healthy
283,18,5009,4.0,37,5.6,healthy
284,22,13257,2.8,66,6.9,healthy
285,21,5004,6.7,39,4.8,healthy
286,25,5031,3.8,46,6.7,healthy
287,36,5040,2.8,42,5.4,unhealthy
288,33,7663,7.2,57,5.7,healthy
289,21,5004,7.2,37,6.0,healthy
290,20,13257,4.2,65,6.9,healthy
291,32,13257,5.4,81,5.3,healthy
292,16,13257,2.8,48,6.1,healthy
293,19,13257,3.1,59,4.6,healthy
294,34,5004,7.2,43,3.2,unhealthy
295,26,8597,7.2,46,3.1,healthy
296,29,5009,6.2,48,3.0,healthy
297,24,5004,7.2,44,3.6,healthy
298,15,13257,2.8,72,5.3,healthy
299,25,5004,6.5,42,3.2,healthy
300,14,13257,2.8,81,5.4,healthy
301,35,5015,6.2,40,6.4,unhealthy
302,37,13257,3.3,46,6.0,healthy
303,27,5055,7.2,60,3.8,healthy
304,33,6693,7.2,47,4.8,unhealthy
305,25,13257,2.8,77,6.5,healthy
306,35,5005,7.2,38,6.2,unhealthy
307,35,5006,7.1,54,4.9,unhealthy
308,17,13257,2.9,68,6.8,healthy
309,24,13257,2.8,62,4.0,healthy
310,27,13257,6.1,40,6.3,healthy
311,33,5006,7.2,42,4.7,unhealthy
312,16,5145,7.1,50,3.3,healthy
313,25,7183,3.1,42,5.4,healthy
314,24,10891,6.5,47,3.0,healthy
315,29,8283,6.7,44,3.0,healthy
316,20,5004,7.2,38,3.0,healthy
317,33,12903,2.8,43,6.7,unhealthy
318,21,12973,7.2,46,3.7,healthy
319,28,5004,7.2,45,4.1,healthy
320,19,9171,3.2,74,6.2,healthy
321,27,5004,7.2,51,4.4,healthy
322,24,13257,3.0,62,4.5,healthy
323,29,13257,3.5,65,5.5,healthy
324,13,5378,6.6,42,5.7,unhealthy
325,27,13257,2.8,57,5.9,healthy
326,43,13257,2.8,67,3.9,healthy
327,30,10898,3.8,49,4.8,healthy
328,36,12784,2.8,79,6.9,healthy
329,22,5004,5.9,49,6.4,healthy
330,24,13257,3.5,57,4.4,healthy
331,41,5050,3.0,42,4.7,unhealthy
332,16,8726,3.5,51,4.8,healthy
333,33,5150,6.9,37,3.3,unhealthy
334,21,11511,2.8,51,6.5,healthy
335,16,12922,7.2,56,3.8,healthy
336,32,5914,6.6,46,4.1,unhealthy
337,25,8346,4.7,45,6.9,healthy
338,17,13257,2.8,70,6.1,healthy
339,17,8509,3.0,54,4.8,healthy
340,24,11842,6.1,61,5.8,healthy
341,33,6220,3.8,59,6.2,healthy
342,34,12887,3.6,70,6.4,healthy
343,17,13257,2.8,77,6.3,healthy
344,23,13257,2.9,57,6.1,healthy
345,21,13257,7.2,71,6.5,healthy
346,22,5004,7.2,38,5.4,healthy
347,31,5050,2.9,40,4.6,unhealthy
348,20,5179,2.8,63,3.7,healthy
349,27,13257,3.0,71,6.7,healthy
350,19,5378,3.6,39,3.6,healthy
351,32,12617,7.2,43,4.7,healthy
352,22,13004,4.5,58,5.9,healthy
353,28,5004,6.6,39,5.0,healthy
354,33,5005,4.9,63,6.0,healthy
355,25,13257,2.8,52,6.4,healthy
356,24,13257,6.0,67,4.0,healthy
357,23,5127,3.9,49,5.1,healthy
358,13,6180,5.0,45,3.9,unhealthy
359,24,5169,7.0,54,5.1,healthy
360,21,7147,2.8,42,4.2,healthy
361,23,12855,2.8,60,6.3,healthy
362,21,5004,7.2,41,3.0,healthy
363,26,13241,5.5,55,4.4,healthy
364,32,6558,7.1,42,4.6,unhealthy
365,32,13257,2.9,64,5.4,healthy
366,31,5033,7.2,38,5.0,unhealthy
367,18,13257,3.6,62,5.3,healthy
368,40,5004,4.5,38,4.6,unhealthy
369,34,6274,7.2,45,6.9,healthy
370,23,9883,7.1,53,3.3,healthy
371,43,5004,6.8,46,4.2,unhealthy
372,25,13257,2.8,51,5.3,healthy
373,28,5004,6.0,37,3.5,healthy
374,29,8168,6.1,55,3.5,healthy
375,30,5004,7.2,40,4.9,healthy
376,21,5026,2.8,58,3.3,healthy
377,18,5004,7.2,40,3.3,healthy
378,15,8898,2.8,60,5.2,healthy
379,33,9301,4.9,72,5.2,healthy
380,34,10285,2.8,56,4.6,healthy
381,25,5004,6.6,40,3.2,healthy
382,16,12668,3.9,56,5.6,healthy
383,23,7067,5.3,49,4.7,healthy
384,31,5296,2.8,46,5.9,unhealthy
385,26,5800,2.8,53,4.9,healthy
386,32,10475,6.7,44,5.5,healthy
387,26,13257,2.8,61,6.8,healthy
388,13,8099,5.5,53,6.2,healthy
389,17,13257,2.8,69,6.0,healthy
390,19,12843,3.1,78,4.4,healthy
391,23,10634,7.1,55,3.2,healthy
392,27,5005,7.1,38,3.3,healthy
393,18,13257,2.8,78,6.0,healthy
394,32,5099,4.3,50,4.5,unhealthy
395,22,13257,2.8,77,6.6,healthy
396,20,12093,4.4,52,4.9,healthy
397,23,13257,2.8,62,5.4,healthy
398,19,5004,7.2,43,6.0,healthy
399,28,13257,3.6,74,6.8,healthy
400,23,13257,5.7,45,6.7,healthy
401,33,5004,6.9,37,3.1,unhealthy
402,18,5004,7.2,37,3.0,healthy
403,30,5004,7.2,39,3.0,healthy
404,18,13257,2.8,50,6.9,healthy
405,24,5004,7.2,42,3.2,healthy
406,22,7368,3.6,57,5.8,healthy
407,17,6504,6.8,38,5.3,healthy
408,35,5006,5.1,60,5.7,healthy
409,18,13257,2.8,78,4.1,healthy
410,22,5047,7.2,47,3.9,healthy
411,14,5004,7.2,57,3.2,healthy
412,22,13257,2.8,78,5.2,healthy
413,24,5004,7.1,38,4.1,healthy
414,35,10952,7.2,79,5.7,healthy
415,10,7080,5.9,61,4.1,healthy
416,24,5004,6.6,45,4.8,healthy
417,19,5004,6.3,38,4.2,healthy
418,21,5008,7.2,51,6.6,healthy
419,17,13257,2.8,71,6.8,healthy
420,40,11039,5.5,44,5.8,unhealthy
421,23,13257,6.7,59,5.7,healthy
422,15,5009,6.9,47,4.1,healthy
423,25,13257,2.8,58,6.7,healthy
424,31,10858,2.8,66,6.6,healthy
425,32,5018,3.4,66,3.8,healthy
426,17,5005,6.9,40,4.7,healthy
427,13,10325,7.2,74,6.5,healthy
428,24,5036,2.8,55,4.3,healthy
429,36,13257,2.8,56,5.2,healthy
430,26,5004,6.9,37,3.9,healthy
431,41,5102,6.3,53,6.6,unhealthy
432,23,13257,3.2,56,5.2,healthy
433,20,5010,7.2,73,3.6,healthy
434,20,13257,2.8,47,6.6,healthy
435,27,5882,6.6,45,5.3,healthy
436,27,5004,4.7,39,3.2,healthy
437,34,5004,4.4,64,4.0,healthy
438,20,5004,3.1,45,3.0,healthy
439,21,11117,2.9,57,5.1,healthy
440,24,5004,7.2,44,3.1,healthy
441,31,7852,2.8,41,3.9,healthy
442,32,11334,2.9,58,3.1,healthy
443,22,7600,7.2,53,5.5,healthy
444,22,5063,4.2,59,3.4,healthy
445,25,7476,7.2,44,5.1,healthy
446,18,13257,2.8,67,7.0,healthy
447,27,5005,7.1,39,5.1,healthy
448,24,13257,2.8,79,4.6,healthy
449,28,5061,6.8,42,4.6,healthy
450,31,5004,7.2,42,3.4,unhealthy
451,19,13257,2.8,61,7.0,healthy
452,15,12796,2.8,70,6.9,healthy
453,22,13257,4.0,72,7.0,healthy
454,37,13257,2.8,77,5.5,healthy
455,20,5165,6.5,56,4.0,healthy
456,40,13257,3.2,69,5.1,healthy
457,33,13257,3.5,64,6.3,healthy
458,24,9578,2.9,79,4.7,healthy
459,31,12938,2.8,49,4.8,healthy
460,36,12855,3.3,70,4.3,healthy
461,18,13257,3.1,78,6.8,healthy
462,27,13257,3.1,63,6.6,healthy
463,32,5004,5.1,38,3.0,unhealthy
464,18,12647,2.8,49,5.2,healthy
465,27,8097,3.2,50,6.3,healthy
466,18,13195,7.1,69,5.7,healthy
467,28,10100,4.4,55,6.1,healthy
468,39,13226,7.2,61,5.7,healthy
469,35,7407,4.7,44,3.2,unhealthy
470,23,13257,2.8,77,6.6,healthy
471,42,5005,2.9,49,5.3,healthy
472,25,13257,2.8,61,6.9,healthy
473,24,5005,7.2,59,4.3,healthy
474,29,13257,2.9,79,6.8,healthy
475,24,13257,7.2,62,5.4,healthy
476,27,13257,2.8,83,7.0,healthy
477,44,5004,3.5,39,5.3,unhealthy
478,12,13257,3.2,79,6.9,healthy
479,17,12566,6.7,49,4.6,healthy
480,33,5254,2.8,48,3.5,unhealthy
481,21,7085,7.2,46,5.7,healthy
482,19,13257,5.2,70,6.1,healthy
483,31,7336,5.4,56,4.3,healthy
484,19,13257,7.1,50,6.8,healthy
485,28,13257,7.2,72,5.1,healthy
486,39,12778,2.8,54,3.9,unhealthy
487,25,6161,7.2,59,6.8,healthy
488,28,13257,2.8,57,4.9,healthy
489,36,13257,2.8,69,7.0,healthy
490,21,11513,7.0,40,5.8,healthy
491,10,6039,7.2,45,4.5,unhealthy
492,16,13069,2.8,74,3.6,healthy
493,16,5004,7.1,38,3.2,healthy
494,25,13257,7.2,81,6.3,healthy
495,25,5036,2.8,57,4.1,healthy
496,24,5005,7.1,50,3.9,healthy
497,30,5004,7.1,38,3.0,healthy
498,28,5023,7.1,43,3.6,healthy
499,32,8225,4.3,47,4.4,unhealthy
500,21,12189,3.0,66,7.0,healthy
501,27,13257,2.8,40,7.0,healthy
502,21,13197,6.0,54,6.3,healthy
503,42,5004,6.6,43,5.3,unhealthy
504,22,5231,2.8,62,6.8,healthy
505,34,13257,6.5,55,7.0,healthy
506,14,6502,2.8,37,5.3,healthy
507,21,5162,2.9,52,5.0,healthy
508,14,13257,2.8,61,6.4,healthy
509,13,13221,2.8,49,4.8,unhealthy
510,36,12853,2.9,76,3.8,healthy
511,34,5004,4.7,37,4.4,unhealthy
512,26,5320,2.8,41,4.8,healthy
513,24,11980,2.8,66,5.8,healthy
514,21,5004,5.7,41,5.7,healthy
515,19,5037,3.0,47,3.2,healthy
516,24,13257,2.8,70,6.9,healthy
517,36,13257,2.8,50,6.2,healthy
518,20,5004,3.9,42,3.8,healthy
519,26,5010,5.5,48,5.5,healthy
520,22,13257,3.0,72,5.8,healthy
521,22,13257,2.8,81,5.7,healthy
522,20,12123,2.8,59,4.3,healthy
523,40,5336,6.7,68,6.5,healthy
524,34,11631,4.3,49,5.4,unhealthy
525,22,10774,3.5,42,4.9,healthy
526,17,13257,2.8,75,6.8,healthy
527,32,5051,6.6,38,4.1,unhealthy
528,21,13257,2.8,51,4.2,healthy
529,41,13257,7.2,51,3.5,unhealthy
530,23,13257,2.9,65,6.9,healthy
531,26,5011,7.2,39,5.8,healthy
532,17,8266,3.9,54,5.9,healthy
533,34,5942,7.0,51,5.0,healthy
534,26,12593,7.1,42,5.2,healthy
535,27,13257,6.9,76,4.8,healthy
536,42,5231,7.2,50,5.1,healthy
537,26,13257,4.9,76,5.3,healthy
538,22,13257,2.8,70,6.7,healthy
539,33,5005,6.9,51,4.2,unhealthy
540,14,13257,2.8,68,5.5,healthy
541,22,13257,2.8,70,6.3,healthy
542,23,5008,4.1,42,6.8,healthy
543,36,5004,3.2,38,3.8,unhealthy
544,27,8835,3.5,62,4.7,healthy
545,31,7182,6.8,60,5.1,healthy
546,15,5098,7.2,76,3.1,healthy
547,23,5058,5.8,56,4.6,healthy
548,16,5004,7.0,37,3.0,healthy
549,30,12642,6.2,40,3.9,healthy
550,16,5004,3.8,44,3.3,healthy
551,25,13257,2.8,50,7.0,healthy
552,12,7089,5.5,59,3.9,healthy
553,28,5004,3.2,39,3.0,healthy
554,21,5047,3.2,46,4.2,healthy
555,29,13257,2.8,64,6.1,healthy
556,23,13257,2.8,61,6.8,healthy
557,26,13257,2.8,71,7.0,healthy
558,34,5622,3.5,61,5.4,healthy
559,31,12855,7.2,63,6.4,healthy
560,28,12222,2.9,69,3.9,healthy
561,26,5004,7.1,42,3.3,healthy
562,29,11785,5.3,45,3.5,healthy
563,18,5004,6.2,49,3.8,healthy
564,22,5017,6.7,57,3.4,healthy
565,21,13202,6.5,69,4.7,healthy
566,21,13257,3.0,81,6.3,healthy
567,15,10080,7.2,38,4.5,healthy
568,34,5004,7.2,49,3.1,unhealthy
569,36,13257,3.2,41,6.6,healthy
570,29,5004,7.2,41,3.0,healthy
571,22,13257,2.8,80,6.9,healthy
572,38,13257,4.3,72,4.0,healthy
573,31,5004,7.0,39,3.0,unhealthy
574,27,8603,2.8,70,6.3,healthy
575,22,13257,6.9,61,4.8,healthy
576,26,13177,7.1,71,6.0,healthy
577,44,13257,2.8,47,7.0,unhealthy
578,30,10023,2.8,63,5.7,healthy
579,41,5484,7.0,56,6.6,healthy
580,27,5034,2.8,37,3.8,healthy
581,21,13257,2.8,75,5.9,healthy
582,15,13257,2.8,62,5.0,healthy
583,38,5004,5.1,39,4.8,unhealthy
584,31,5004,6.1,45,4.1,unhealthy
585,21,13257,3.4,62,5.6,healthy
586,19,5004,7.2,51,4.1,healthy
587,32,11006,3.2,55,5.2,healthy
588,21,5011,7.2,41,3.3,healthy
589,22,5157,2.9,45,5.0,healthy
590,29,5247,2.8,40,5.4,healthy
591,32,13122,6.8,48,3.9,unhealthy
592,34,13257,3.0,73,6.7,healthy
593,19,5004,7.2,39,4.8,healthy
594,26,5022,7.1,37,4.8,healthy
595,23,5088,3.8,46,3.0,healthy
596,16,12590,7.1,49,4.3,healthy
597,35,5004,7.2,39,4.5,unhealthy
598,19,13257,3.4,76,4.0,healthy
599,13,13257,2.8,66,3.6,healthy
600,22,5100,6.6,47,4.6,healthy
601,30,6405,3.1,72,6.4,healthy
602,31,5004,7.2,40,6.5,unhealthy
603,31,12570,7.1,64,5.4,healthy
604,27,5661,7.1,53,5.3,healthy
605,20,5067,7.2,38,3.8,healthy
606,16,5144,7.0,44,3.0,healthy
607,28,5004,7.2,42,4.4,healthy
608,33,13257,6.8,69,6.9,healthy
609,14,12807,7.2,59,3.3,healthy
610,17,7303,3.7,50,3.1,healthy
611,16,13052,2.8,47,6.1,healthy
612,28,13036,6.3,45,4.4,healthy
613,20,5458,6.2,58,4.1,healthy
614,28,5004,7.2,41,4.1,healthy
615,24,13257,2.9,73,4.2,healthy
616,25,13257,3.3,57,6.1,healthy
617,36,13155,4.5,58,6.4,healthy
618,20,5077,5.1,59,3.0,healthy
619,19,13257,4.3,80,7.0,healthy
620,27,5464,2.9,55,5.5,healthy
621,16,13257,2.8,69,6.5,healthy
622,25,5015,2.9,45,3.6,healthy
623,26,5173,3.9,39,3.8,healthy
624,36,5028,3.5,50,5.5,unhealthy
625,19,5004,7.0,38,3.7,healthy
626,21,13257,6.5,64,6.3,healthy
627,20,13257,4.1,80,5.5,healthy
628,25,11633,4.9,43,5.1,healthy
629,19,13257,5.3,75,5.4,healthy
630,29,5005,3.5,45,3.3,healthy
631,26,10172,3.4,65,5.2,healthy
632,18,5145,7.2,37,4.1,healthy
633,25,7502,6.6,58,3.9,healthy
634,18,13257,4.4,53,6.1,healthy
635,29,5004,7.2,45,6.4,healthy
636,17,6338,7.2,49,4.1,healthy
637,27,12833,4.7,69,4.9,healthy
638,21,12907,6.7,62,4.5,healthy
639,28,5028,3.0,38,3.3,healthy
640,17,5691,7.1,46,5.9,healthy
641,18,13020,6.5,64,5.3,healthy
642,32,13257,3.0,43,6.7,unhealthy
643,15,9714,5.9,52,6.8,healthy
644,14,5667,3.0,39,6.6,unhealthy
645,26,5004,7.2,40,4.8,healthy
646,38,5004,2.8,43,5.0,unhealthy
647,34,5809,2.8,41,6.1,healthy
648,35,13257,2.8,70,5.0,healthy
649,14,13257,2.8,68,4.1,healthy
650,25,13252,7.1,41,6.9,healthy
651,28,11192,6.0,43,3.8,healthy
652,18,6276,7.2,42,3.9,healthy
653,27,7848,5.7,61,5.0,healthy
654,18,13257,5.5,67,4.6,healthy
